측정소명,년/월/일,DO(㎎/L),BOD(㎎/L),COD(㎎/L),TP(㎎/L),수온(℃),TN(㎎/L),SS(㎎/L)
성내천,2026/04/02,8.3,2.3,5.8,0.16,,2.975,
성내천,2024/02/01,14.1,1.4,2.5,0.03,,3.154,
성내천,2024/05/02,8.9,2.4,3.7,0.092,,2.354,
성내천,2024/09/05,6.3,1.8,5.3,0.084,,1.914,
성내천,2025/11/06,8.5,1.8,2.5,0.07,,3.253,
영등포,2024/10/15,8.8,1.1,5.5,0.061,,3.829,
영등포,2025/02/12,,,,,,,
영등포,2025/10/21,10.4,0.7,3.0,0.068,,2.91,
영등포,2025/09/09,7.7,1.9,3.3,0.064,,2.855,
영등포,2024/03/19,11.3,2.3,5.6,0.049,,4.021,
영등포,2025/07/02,9.3,2.6,4.9,0.041,,2.53,
영등포,2025/04/16,9.2,2.8,4.7,0.056,,3.706,
영등포,2024/07/24,7.4,1.3,4.3,0.11,,2.482,
영등포,2026/03/19,10.7,2.3,4.4,0.039,,4.863,
영등포,2024/04/23,9.8,1.6,4.1,0.032,,2.522,
영등포,2023/07/27,8.3,1.1,3.6,0.065,,2.978,
영등포,2023/11/08,9.7,0.7,3.7,0.05,,2.277,
영등포,2024/11/12,10.3,1.9,4.0,0.059,,4.128,
영등포,2024/12/10,12.8,1.6,4.1,0.031,,3.724,
영등포,2023/12/12,12.0,1.1,4.7,0.01,,4.318,
영등포,2024/08/13,8.4,1.5,4.3,0.048,,2.579,
영등포,2024/06/11,9.3,1.8,4.4,0.026,,2.376,
영등포,2023/08/08,7.1,1.1,3.6,0.041,,2.671,
영등포,2023/09/12,9.4,1.4,4.8,0.033,,2.718,
영등포,2026/01/14,14.3,1.5,3.9,0.026,,5.347,
영등포,2023/10/17,10.0,1.4,3.4,0.033,,3.294,
영등포,2025/12/09,12.7,1.9,4.2,0.024,,4.553,
영등포,2025/06/17,6.9,3.5,4.1,0.077,,3.039,
영등포,2026/02/04,12.4,1.9,4.6,0.027,,5.664,
영등포,2025/05/21,9.8,1.5,3.5,0.032,,2.62,
영등포,2025/01/14,12.6,2.0,4.3,0.021,,4.69,
영등포,2025/08/25,6.6,1.7,4.5,0.126,,3.362,
영등포,2024/01/16,12.6,1.4,4.5,0.028,,4.816,
영등포,2025/03/11,11.9,4.0,5.0,0.045,,4.395,
영등포,2026/04/15,11.4,3.4,5.5,0.036,,3.561,
영등포,2024/02/20,10.8,2.8,5.0,0.04,,3.547,
영등포,2024/05/21,9.2,1.8,4.5,0.026,,2.318,
영등포,2024/09/11,8.8,1.9,6.1,0.04,,3.071,
영등포,2025/11/11,10.7,1.3,4.0,0.026,,3.779,
팔당댐2,2025/11/24,12.919999999999998,1.1600000000000001,3.2,0.0144,10.040000000000001,2.7338,3.0
팔당댐2,2024/06/24,8.559999999999999,1.7600000000000002,3.96,0.032600000000000004,20.7,1.6995999999999998,5.279999999999999
팔당댐2,2026/03/03,13.9,1.7600000000000002,3.46,0.0196,5.4399999999999995,2.9341999999999997,4.5600000000000005
팔당댐2,2023/11/13,9.379999999999999,0.74,3.34,0.0458,12.34,2.243,4.9799999999999995
팔당댐2,2025/06/30,8.48,2.4,5.319999999999999,0.041600000000000005,22.2,2.2514,5.64
팔당댐2,2023/09/25,9.34,0.5599999999999999,3.3600000000000003,0.051000000000000004,21.419999999999998,2.2824,5.2
팔당댐2,2024/12/16,12.78,0.8400000000000001,2.6399999999999997,0.019,5.380000000000001,2.8954,2.04
팔당댐2,2024/02/05,14.9,0.8,3.2,0.017,3.3,2.656,3.3
팔당댐2,2025/01/20,13.8,0.7,2.6,0.01,2.7,1.964,1.4
팔당댐2,2023/09/04,9.219999999999999,1.1,3.4,0.038400000000000004,22.82,2.1724,6.44
팔당댐2,2024/01/04,13.5,0.5,2.4,0.018,2.2,2.649,1.6
팔당댐2,2025/05/07,11.42,1.28,3.2399999999999998,0.021,14.36,2.1643999999999997,4.16
팔당댐2,2026/04/06,11.18,1.58,3.66,0.0252,11.540000000000001,2.641,4.1
팔당댐2,2024/10/14,10.36,1.48,3.6,0.0386,19.439999999999998,2.5006,9.620000000000001
팔당댐2,2026/02/02,14.3,0.9,2.7,0.042,1.5,2.835,1.2
팔당댐2,2024/10/07,9.2,1.42,3.6,0.040400000000000005,20.54,2.4844,5.74
팔당댐2,2023/11/07,8.92,0.58,3.22,0.032,15.86,2.0368,7.7
팔당댐2,2024/10/28,8.4,0.78,3.3600000000000003,0.0624,16.5,2.6168,5.88
팔당댐2,2025/11/17,12.16,0.9199999999999999,2.98,0.017,12.1,2.6125999999999996,4.18
팔당댐2,2024/01/29,14.0,0.8,2.9,0.033,2.6,2.471,1.8
팔당댐2,2024/01/22,13.7,0.9,2.7,0.017,2.6,3.128,2.4
팔당댐2,2025/07/07,6.8,1.48,3.46,0.0284,23.1,2.0212,3.1
팔당댐2,2024/03/11,13.14,1.1400000000000001,3.06,0.0198,5.92,2.8538,4.1
팔당댐2,2025/10/10,,,,,,,
팔당댐2,2024/07/22,8.48,0.9,3.44,0.067,21.7,2.6914000000000002,10.4
팔당댐2,2023/12/04,12.38,1.04,3.3,0.0262,5.7,2.4532,7.0
팔당댐2,2024/09/23,7.92,0.52,4.8,0.1426,21.479999999999997,2.5637999999999996,16.880000000000003
팔당댐2,2026/01/05,13.8,1.2,2.9,0.014,2.2,2.562,2.5
팔당댐2,2025/01/27,,,,,,,
팔당댐2,2023/09/18,8.540000000000001,0.78,3.3600000000000003,0.034999999999999996,23.14,1.8765999999999998,3.9799999999999995
팔당댐2,2026/02/09,14.9,0.9,2.7,0.011,2.2,2.547,1.1
팔당댐2,2024/05/13,10.879999999999999,1.98,4.3,0.0262,15.419999999999998,2.0528,5.4
팔당댐2,2025/10/13,9.8,0.64,2.82,0.0418,18.0,2.5588,6.0
팔당댐2,2024/01/08,13.8,0.6,2.7,0.023,2.0,3.254,2.5
